,MWE,Previous,Target,Next
161,cidade vella,"Salamanca, ademais, está considerada como gran referente mundial na ensinanza do español, co coñecido como ""turismo idiomático"", e que concentra o 78% da oferta existente en Castela e León, e do 16% de España.",A cidade vella de Salamanca foi declarada Patrimonio da Humanidade pola Unesco en 1988.,"Lugares de interese da cidade, moitos deles dentro do «Barrio Vello», son:"
162,clases altas,"Pero os xeitos de divertirse seguiron dependendo moito da tradición, do xénero, da clase social e do lugar.","As clases altas gozaban de máis lecer nos seus liceos e casinos, mentres os máis humildes xuntábanse no bar ou na taberna onde, polo xeral, aínda non entraban as mulleres.","As festas continuaron moi controladas,"
163,días hábiles,"A información pública o ""Estudo Informativo do Proxecto da Nova Estación Intermodal de Ourense""","En virtude da aprobación provisional do estudo e conforme ao disposto no artigo 5.5 da vixente Lei 38/2015 do Sector Ferroviario, sométese a información pública devandito estudo por un período de 30 días hábiles, contados a partir do día seguinte ao de publicación do presente anuncio no Boletín Oficial do Estado, para ser examinado polas persoas que o desexen, quen poderá formular observacións sobre a concepción global do trazado, na medida en que afecte o interese xeral.",Si desexa facer algún comentario poder enviar un correo a celso.delgado@congreso.es
165,fenda dixital,"O paradigma dixital está a mudar as formas de ler, de escribir e de informarse.",As posibilidades de infotoxicación tamén son moitas e a fenda dixital unha evidencia que está xerar unha nova forma disparidade no acceso aos recursos da sociedade da información.,Xa dicía o Nietzshe que aquilo que non me destrue fortaléceme.
166,festa rachada,"O terceiro día trae a música da orquestra coruñesa JUAN MALLO e da cántabra HOLLYWOOD, e xa para rematar o martes AMÉRICA SL e a orquestra CAPITOL poñerán o broche final.",En Ponteceso comezan catro días de festa rachada para competir con Muxía.,Ha de haber para todos!
168,golpe duro,"De tódolos xeitos, creo que o problema é das 'esquerdas' en xeral.","Evidentemente, a radical-revolucionaria veu esfarelado o seu proxecto coa queda da URSS (incluso para Trotskos, Maos, Luxemburgistas... a falla dun referente real, mellor ou peor, que 'funcionase' foi un golpe duro), mais a esquerda 'moderada', socialdemócrata, tamén se veu (e ve) afectada, nun escenario de triunfo do capitalismo e de cada día máis insistentes chamadas a modelos liberais, recurtes a todo o que cheire a keynesianismo, e xa non digamos falar de socialismo, anque sexa moderadamente e nun remoto futuro...","Agora, que Zizek é un pesimista nato... É que vive diso."
170,horas baixas,Rubalcaba non quere cargar coa herdanza dos gobernos de Zapatero.,O presidente está en horas baixas e cómpre diferenciarse se se aspira a maquillar a previsíbel derrota electoral.,"Por iso está a facer unha precampaña con guiños á esquerda e ao movemento 15-M. Ao pouco de ser elixido candidato, anunciou que ía introducir no programa algunhas propostas para favorecer a participación."
172,leña verde,"Ser traballador, de palabra e aforrador eran valores imprescindibles dunha familia pobre que loitase por saír adiante.","Vagos, incumpridores e gastadores eran fume, leña verde, homes de pouco proveito.","A ninguén se lle ocorría tirar da manta máis do que daba, e non só iso, se realmente había algún afán de progreso deberíanse aprender as artes de economizar, quitar de aquí e dalí, privándose, sacrificándose, para ir xuntando un mínimo aforro."
174,ligazóns mortas,"Se a fonte só existe en liña, debe darse a ligazón aínda que esta estea restrinxida baixo rexistro ou subscrición.","Para axudar a previr as ligazóns mortas, poden usarse identificadores persistentes para algúns tipos de fontes.","Algúns artigos científicos teñen un DOI, mentres que algúns xornais en liña e blogs teñen ligazóns permanentes que se manteñen estables."
176,lume lento,"No ranking da revista Rolling Stone dos mellores albums dos noventa, este album atópase entre os cen destacados da década.","Na xira de abril e maio de 2015 comprobouse que o libro de Luna segue sendo o mesmo: o que empezou a escribir Wareham tras a disolución da súa anterior banda, Galaxie 500, e co que se dedicou, a través de sete discos de estudio e un en directo -entre 1992 e 2005-, a levar a terreos con máis pulsacións e máis afilados as cancións elípticas e envolventes da súa citada banda previa, esas nas que Wareham aportaba unha voz de tenor planeadora e texturas de guitarra a lume lento.","O concerto de Luna en Ferrol estará precedido polo valenciano Ramirez Exposure, unha das revelacións da música peninsular dos últimos anos."
178,luz verde,"Unha peza na que tamén tomaron parte Fina Mantiñán, Rosalía Pazo, Elena Colmero, Soledad Penalta, Mónica Alonso, María Xosé Díaz, Almudena Fernández Fariña,Menchu Lamas e Tatiana Medal.",O PNV dá a luz verde aos orzamentos de Rajoy o mesmo día que pacta con Bildu o novo status para Euskadi,A fuga do penal de Iruña: unha evasión que rematou co asasinato de 58 antifascistas galegos
179,luz vermella,* A presidenta Tsai planea realizar unha visita aos aliados diplomáticos no segundo semestre do ano.,"Non hai ningún aliado onde as relacións oficiais con Taiwán estean en luz vermella, dixo David Lee.",Tsai pretende visitar os 21 aliados diplomáticos durante o seu mandato.
181,masa salarial,Abre os Ollos,"Resolver as alegacións presentadas e se procede aprobar definitivamente o orzamento xeral para o exercicio 2018, as bases de execución do orzamento, límite de gasto non financieiro para o exercicio 2018, cadro de persoal e a masa salarial do persoal laboral do Concello de Oroso.","Aprobar, previa ratificación da urxencia, trasladar a data de celebración do seguinte pleno ordinario para o día 5 de abril de 2018."
182,materia escura,"Orbitamos ao seu redor pola súa gran forza de atracción, e non nos decatamos de que nos converte en espaghetti porque coidamos que as verdadeiras leis son as que rexen a física da política, que a suspensión se dá ao outro lado, na materia escura de que se compón a sociedade civil.",Tamén din os físicos que a materia escura é a maioría inmensa do universo que habitamos.,Máis ou menos o que Marx viña a dicir do proletariado: a inmensa maioría.
183,memoria viva,Hoxe está Alfonso Gil.,"Esta experiencia que xa moi poucos lembramos de pertiño, merece ser posta no seu haber con letras grandes, relatala con testemuños polo miúdo e de completo, antes de que desaparezamos os poucos que temos aínda a memoria viva de daquela.",Penso que vale a pena.
185,monte baixo,Os cinco son considerados adultos.,"Son animales excepcionalmente recios, vigorosos, resistentes á fatiga e de gran fortaleza física, frugais na súa alimentación, adaptados ó monte baixo e ó sotobosque de Galicia.",No mapa atópanse as zonas onde abundan os cabalos galegos de monte.
187,órgano central,"En 1915, debido ao apoio prestado polo SPD á participación alemá na primeira guerra mundial, ela, xunto con Karl Liebknecht fundaron a Liga Espartaquista (Spartakusbund) que posteriormente se convertería no Partido Comunista Alemán.","Durante a Revolución Alemá de 1918 fundou o xornal Die Rote Fahne (A Bandeira Vermella), que se converteu no órgano central do movemento espartaquista.","Publicou diversas análises e ensaios noutros xornais da época, como o Leipziger Volkszeitung e ademais, foi autora de diversos libros, dos cales destaca Die Akkumulation des Kapitals (en galego, A acumulación do capital), e tamén Sozialreform oder Revolution?"
188,paseo marítimo,"É un pequeno areal situado no barrio de Areeta, xunto ao porto deportivo.",Hai un paseo marítimo que rodea a praia e chega ata Algorta.,É a primeira praia da marxe dereita da ría de Bilbao.
189,pegada ecolóxica,"Rúa peonil do Calvario, na praza do mercado","Durante todo o día haberá postos de venta de produtos de comercio xusto e actividades infantís e obradorios de globoflexia, de cálculo da pegada ecolóxica, de creación de chaveiros con materiais reutilizados, xogos tradicionais...",Praza de Galicia
190,poboación activa,"O director, premio da Crítica do Festival de Cannes en 2016, quere achegar a visión dos lumes forestais desde varias perspectivas.","O 40,2% da poboación activa en España sofre desemprego, subemprego ou precariedade.","O paro e os postos a tempo parcial non desexado propician que institucións que se dedican a analizar o mercado procuren medidas alternativas para estudalo, tendo en conta á poboación desanimada e inactiva pero que desexa traballar."
192,porta grande,Feijoo e Trabazo retomaron a súa xeira de triunfos no Rosal,Os dous dominadores da Copa Galicia 2017 regresaron pola porta grande ao certame autonómico na súa quinta xornada.,"Despois de perderse a anterior cita puntuable por coincidencia coa Copa de España, Iván Feijoo e Irene Trabazo retomaron a súa xeira de triunfos na localidade..."
193,puntos fortes,Tanto a intervención de Víctor F. Freixanes como a do propio Monteagudo foron memorables.,"Nuns días nos que se están a espallar os datos sobre a perda de galegofalantes, son de agradecer as visións optimistas; pero non dun optimismo inxenuo, senón daquel que nace da crenza no que se está a facer ben; daquel optimismo que busca os puntos fortes das malas novas, e sobre todo do optimismo que nace da razón e da procura do sentidiño común.","Nunha tarde de choiva de palabras, a dicir deles, que son os dous moi poéticos, trataron de desvincular o conflito lingüístico de todas esas connotacións que tratan de colgarlle: a de minoritario, a de sectaria, a política, a de que ten que decidirse na educación … , tan só trataron de identificar a lingua como unha marca de calidade de Galicia e dos galegos, o que nos diferenza dos demais, pero que non nos vai supor ningunha eiva, todo o contrario, é un valor engadido que nos abre moitas portas cun mínimo esforzo."
194,puntos limpos,"Analízanse as respostas sobre todo respecto a produtos que non cumpren con algunha das catro R (pilas non recargables, baterías de móbiles, lámpadas,...)","Na última parte do obradoiro fálase sobre os puntos limpos: que son, funcionamento, materiais que recollen, situación e horarios en cada concello,....","Co fin de involucrar ao público asistente ao obradoiro faise entrega dun obsequio relacionado coa temática, como son bolsas de material reciclado (que respaldan a reutilización frente ás de plástico) e trapos de tela (para defender o seu uso frente aos rollos de papel)."
195,puntos negros,"Por este motivo, propoñerán tamén demandar á Xunta de Galiza a elaboración dun informe sobre a calidade da auga da ría de Betanzos, a situación do saneamento e os puntos de vertidos así como dun cronograma das actuacións previstas pola Consellería de Medio ambiente para solucionar estas deficiencias.","“Segundo a Axencia Europea do Medio Ambiente, dos 21 puntos negros onde a calidade da auga é insuficiente das 652 probas que se realizaron en Galiza, dous están na ría de Betanzos”, relata o edil nacionalista.","Ademais, para solucionar os vertidos procedentes da rede municipal de saneamento, toda vez que a Directiva 91/271/CE de 21 de maio indica que dende o ano 2005 todas as aglomeracións urbanas de máis de 2000 habitantes deberán contar con sistemas de depuración, desde o BNG propoñen que o goberno local complete “a rede de saneamento dotando aos núcleos sen depuración de plantas depuradoras coas solucións máis respectuosas para o medio, dispondo dun cronograma de actuacións e partidas específicas para este investimento nos orzamentos” e que se dirixa aos outros concellos da ría para demandarlles o propio."
197,renda básica,"Eu, Daniel Blake, son un cidadán, nin máis nin menos”.","En España, ao longo das dúas últimas décadas, foi tomando corpo un movemento difuso a favor da renda básica.","É o produto dunha sementeira tenaz na que participaron investigadores e estudosos como Ramiro Pinto, José Iglesias, Daniel Raventós, Carolina del Olmo, Cive Pérez, David Casassas, Amaia Pérez, Óscar Jurado, Carmen Castro ou Jorge Moruno, entre moitos outros e colectivos como Baladre, a Rede Renda Básica, Arenci, os Campamentos Dignidade ou a Fundación de Investigacións Marxistas."
198,salto cualitativo,"“Trátase dun proxecto industrial, a largo prazo, que se basea no sector civil e na alta tecnoloxía”, explicou o dirixente municipal, que insistiu en que “se o proxecto vai nesta liña” terá o apoio do Concello.",Ferreiro explicou ante os medios que a empresa lle comunicou que de cara ao mes de outubro espera abordar un “salto cualitativo” que se traducirá nunha maior contratación e en máis encargos.,"Por outro lado, o Ministerio de Defensa cedeu a explotación a Hércules de Armamento dunha parte dos terreos sobre os que se asentaba a antiga Fábrica de Armas, pero non todos."
199,tempos escuros,"Criouse nunha taberna, comezou a súa vida vendo o mundo á altura da petrina e escoitando a confusión de voces dos clientes da súa nai.",Anos despois contáballe ás amizades as aventuras daqueles tempos escuros.,Un día que Mofa e Befa non deron creado un esquetch para un compromiso botaron a Cadaval ao escenario e durante 40 minutos falou X falar.
200,tempo parcial,"A causa de que que tanto a homes como mulleres teñan este tipo de contratos é que non poden encontrar outros empregos; con todo, o coidado de familiares é o segundo motivo para as mulleres traballaren deste xeito.","Así pois, máis do 90 por cento das persoas ocupadas a tempo parcial para atender aos fillos ou a persoas dependentes son mulleres.","Pero se ben é certo que o emprego a tempo parcial pode ter diferentes causas difíciles de cuantificar obxectivamente, hai unha estatística que amosa claramente a desigualdade que viven homes e mulleres: a taxa de emprego no Estado español nos homes de 25 a 49 anos aumenta en caso de teren fillos menores de 12 anos -do 79,3% ao 82%-, mentres que nas mulleres vai diminuíndo mentres aumenta o número de descendentes de menos desa idade -do 68,4% ao 62,3% en caso dun fillo, ao 47% en caso de tres-."
201,venres negro,"Paréceme ben que as empresas de servizos, de tecnoloxías domésticas e, en especial, o sector da roupa e do calzado saquen iniciativas para incentivar o consumo, pero non podían ser un pouco máis creativos?","Venres negro soa mal, pero ter un término propio sería deixar claro que algo temos que dicir nós como cultura e unha medida de achegamento aos potenciais consumidores.","A falla de imaxinación igual vén da man dun intento de reflotar un consumo familiar dependente duns salarios baixos, agravado por este tempo -ata hai pouco primaveral- que non incita a renovar o armario."
202,vida laboral,"Se é o caso, e de acordo co disposto no artigo 31.4 da Lei 9/2007, do 13 de xuño, de subvencións de Galicia, publicarase mediante resolución da persoa titular da Secretaría Xeral de Emprego o esgotamento das partidas orzamentarias asignadas.","a) Muller desempregada: aquela que estea inscrita como demandante de emprego no Servizo Público de Emprego no momento da súa contratación vinculada ao programa e que, pola súa vez, careza de ocupación segundo o informe de vida laboral da Tesouraría Xeral da Seguridade Social.","b) Acción formativa: formación para que se imparte, ben con medios propios da entidade beneficiaria ou ben a través dunha entidade externa ou expertos, co obxecto de que a persoa traballadora participante adquira coñecementos e habilidades en relación co posto de traballo que se desenvolve na empresa participante no marco do programa."
204,vida real,"Porque Zenobia, valente guerreira e raíña de Palmira, é quen infunde forza á nena protagonista na súa loita pola supervivencia.","Iso si, non hai ningunha solución ao conflito no libro, como semella non existir na vida real, só é unha constatación da crúa realidade que viven miles de nenos e nenas actualmente.","É un relato cru, moi cruel, adubiado coa poesía da reflexión."
206,vivenda libre,"Unha das actividades é a promoción de solo residencial, onde podemos destacar a firma de convenios cos concellos da Comunidade Autonoma para a construcción de vivendas de protección autonómica.",Con isto preténdese cubrir a demanda das persoas que non teñen acceso a vivenda libre.,"Co obxecto de optimizar a estrutura de profesionais de Xestur Galicia, unha das actividades que leva a cabo é a asistencia técnica e servizos en tódalas problemáticas urbanísticas que se presenten na nosa Comunidade Autonoma e que sexan demandadas."
208,xente nova,"Non podemos abandonalos á súa sorte, porque sen mozos e mozas no campo e sen a súa actividade agraria suporía, entre outras cousas, a deslocalización da produción e a dependencia alimentaria","Máis alá das políticas comunitarias, ¿cres que poden desenvolverse alternativas para a xente nova a partir de medidas municipais, autonómicas ou estatais?",Estase a facer?
