,MWE,Previous,Target,Next
14,cut short,"We plied them with small shot, half-pikes, powder-chests, and such like, and cleared our deck of them twice.","However, to cut short this melancholy part of our story, our ship being disabled, and three of our men killed, and eight wounded, we were obliged to yield, and were carried all prisoners into Sallee, a port belonging to the Moors.","The usage I had there was not so dreadful as at first I apprehended; nor was I carried up the country to the emperor’s court, as the rest of our men were, but was kept by the captain of the rover as his proper prize, and made his slave, being young and nimble, and fit for his business."
15,cut short,Our inquiries led to no result; and from that day to this no word has ever been heard of my unfortunate father.,"He came home with his heart full of hope, to find some peace, some comfort, and instead--"" She put her hand to her throat, and a choking sob cut short the sentence.","""The date?"""
16,cut short,Ned Land added.,"Just then a stone whizzed toward us, landed at our feet, and cut short the harpooner's proposition.",CHAPTER 22
17,cut short,"I am perfectly well.""","The Secretary of the Military Committee, Fortuné Trubert, invariably made this same reply to all who troubled about his health, less by way of informing them of his welfare than to cut short any discussion on the subject.","At twenty-eight, he had a parched skin, thin hair, hectic cheeks and bent shoulders."
18,cut short,"I feel a strong desire to help you; yet the sole fruit of my importunate efforts would be to....""",The discussion was cut short by a tremendous shout coming from the head of the column to warn the whole regiment of famished citizens that the baker was opening his doors.,"The line began to push forward, but very, very slowly."
19,cut short,A brazen helmet decorated with a panther skin and the crest set off with a crimson cock's-comb shaded his fresh young face and displayed a long and terrific mane that swept his back.,"His red jacket was cut short and square, barely reaching to the waist, the better to show off his elegant figure.","In his girdle he carried an enormous sabre, the hilt of which was a glittering eagle's beak."
20,cut short,"Her appearance always acted as a damper to the curiosity raised by her oral oddities: hard-featured and staid, she had no point to which interest could attach.","I made some attempts to draw her into conversation, but she seemed a person of few words: a monosyllabic reply usually cut short every effort of that sort.","The other members of the household, viz., John and his wife, Leah the housemaid, and Sophie the French nurse, were decent people; but in no respect remarkable; with Sophie I used to talk French, and sometimes I asked her questions about her native country; but she was not of a descriptive or narrative turn, and generally gave such vapid and confused answers as were calculated rather to check than encourage inquiry."
21,cut short,"We plied them with small shot, half-pikes, powder-chests, and such like, and cleared our deck of them twice.","However, to cut short this melancholy part of our story, our ship being disabled, and three of our men killed, and eight wounded, we were obliged to yield, and were carried all prisoners into Sallee, a port belonging to the Moors.","The usage I had there was not so dreadful as at first I apprehended; nor was I carried up the country to the emperor’s court, as the rest of our men were, but was kept by the captain of the rover as his proper prize, and made his slave, being young and nimble, and fit for his business."
22,cut short,"I am perfectly well.""","The Secretary of the Military Committee, Fortuné Trubert, invariably made this same reply to all who troubled about his health, less by way of informing them of his welfare than to cut short any discussion on the subject.","At twenty-eight, he had a parched skin, thin hair, hectic cheeks and bent shoulders."
23,cut short,"I feel a strong desire to help you; yet the sole fruit of my importunate efforts would be to....""",The discussion was cut short by a tremendous shout coming from the head of the column to warn the whole regiment of famished citizens that the baker was opening his doors.,"The line began to push forward, but very, very slowly."
24,cut short,A brazen helmet decorated with a panther skin and the crest set off with a crimson cock's-comb shaded his fresh young face and displayed a long and terrific mane that swept his back.,"His red jacket was cut short and square, barely reaching to the waist, the better to show off his elegant figure.","In his girdle he carried an enormous sabre, the hilt of which was a glittering eagle's beak."
25,cut short,"From that moment forth, Gisquette was nothing to him.","In the meantime, the actors had obeyed his injunction, and the public, seeing that they were beginning to speak again, began once more to listen, not without having lost many beauties in the sort of soldered joint which was formed between the two portions of the piece thus abruptly cut short.",Gringoire commented on it bitterly to himself.
26,cut short,They make me shudder every year; I am always afraid of their costing me a man's life.,"My friend, you will go far; but I do not wish to cut short your career, which will be brilliant, by letting you die of hunger.'","And, on an order from the Bishop, the servants brought in biscuits and Malaga wine, to which Julien did honour, and even more so than abbe Frilair, who knew that his Bishop liked to see him eat cheerfully and with a good appetite."
27,cut short,"He described to the Prince, under an assumed name, the actions and character of Mathilde.","'Do not go on,' said Korasoff: 'to give you confidence in your physician, I am going to cut short your confidences.","This young woman's husband possesses an enormous fortune, or, what is more likely, she herself belongs to the highest nobility of the place."
28,cut short,But the magistrate was a formalist first and foremost.,Julien's statements in no way cut short the examinations; the magistrate's feelings were hurt.,"Julien did not know that they had proposed to remove him to a horrible cellar, and that it was thanks to Fouque's intervention that he was allowed to remain in his charming room one hundred and eighty steps from the ground."
29,cut short,What do I care for other people?,My relations with other people are soon to be cut short.,"For pity's sake, do not speak to me of them again: it is quite enough to have to see the magistrate and my counsel."
30,cut short,"Even if it had been, the young man was so handsome!",His great destiny abruptly cut short heightened the pity felt for him.,Will he be condemned?
31,cut short,Ned Land added.,"Just then a stone whizzed toward us, landed at our feet, and cut short the harpooner's proposition.",CHAPTER 22
32,cut short,"From this point the view of the sea was much extended, but on the right the high promontory prevented their seeing whether there was land beyond it.","On the left, the sight extended several miles to the north; but, on the northwest, at the point occupied by the explorers, it was cut short by the ridge of a fantastically-shaped spur, which formed a powerful support of the central cone.",nan
33,cut short,"answered Pencroft, ""but he--""",The sailor's sentence was cut short by a new tinkle of the bell.,"Harding went to the apparatus, and sent this question to the corral:-- ""What do you want?"""
34,cut short,A beautiful woman risking everything for a mad passion.,"A few wild weeks of happiness cut short by a hideous, treacherous crime.","Months of voiceless agony, and then a child born in pain."
35,cut short,"There's nothing.""",A gust cut short their speech.,"Then Étienne asked, pointing to the sombre pile of buildings at the foot of the platform:"
36,cut short,"""Alzire, just sponge up a bit.""",But a disturbance on the other side of the wall cut short her speech.,"One heard a man's oaths, a woman's crying, a whole stampede of battle, with hollow blows that sounded like thumps of an empty gourd."
37,cut short,they would only starve by being obstinate.,"Étienne had let him speak, his own speech cut short by indignation.",Then he cried:
38,cut short,"He wiped his forehead with his handkerchief, at the same time refusing a glass which Maheu passed to him.",When he was about to continue fresh applause cut short his speech.,"""It's all right,"" he said rapidly to Étienne."
39,cut short,"But his voice was not fierce; he spoke in the cold tones of a simple envoy of the people, who was rendering his account.","He was delivering the discourse which the commissioner of police had cut short at the Bon-Joyeux; and he began by a rapid history of the strike, affecting a certain scientific eloquence--facts, nothing but facts.","At first he spoke of his dislike to the strike; the miners had not desired it, it was the management which had provoked it with the new timbering tariff."
40,cut short,"""Then,"" she said, ""try to be like this sometimes.""","Sobs cut short her words, and he embraced her again.","""You're a stupid!"
41,cut short,"With his awkward hands he unfastened her dress, troubled by the odour of musk which her open bodice exhaled.","And as with streaming tears she clasped Négrel, terrified at this death which cut short the marriage, the husband watched them lamenting together, and was delivered from one anxiety.",This misfortune would arrange everything; he preferred to keep his nephew for fear of his coachman.
42,dead as a doornail,Ah!,"the poor man is as dead as a doornail at this moment.""",Both avoided saying what made them shudder.
43,shut the door on,"As they arrived, it struck two.","At first the servant told them to wait, and shut the door on them; then, when he came back, he introduced them into the drawing-room, and opened the curtains.","A soft daylight entered, sifted through the lace."
44,when all is said and done,"It's all very well for you to laugh, Mr. Sherlock Holmes.","You may be very smart and clever, but the old hound is the best, when all is said and done.""","""I really beg your pardon!"""
45,to a nicety,"It would be difficult to say: I could not then distinctly say it to myself; yet I had a reason, and a logical, natural reason too.","However, when I had brushed my hair very smooth, and put on my black frock--which, Quakerlike as it was, at least had the merit of fitting to a nicety--and adjusted my clean white tucker, I thought I should do respectably enough to appear before Mrs. Fairfax, and that my new pupil would not at least recoil from me with antipathy.","Having opened my chamber window, and seen that I left all things straight and neat on the toilet table, I ventured forth."
46,to a nicety,"I sat still, and bid them search the room if they pleased, for if there was anybody in the house, I was sure they were not in my room; and as for the rest of the house, I had nothing to say to that, I did not understand what they looked for.","Everything looked so innocent and to honest about me, that they treated me civiller than I expected, but it was not till they had searched the room to a nicety, even under the bed, in the bed, and everywhere else where it was possible anything could be hid.","When they had done this, and could find nothing, they asked my pardon for troubling me, and went down."
47,to a nicety,"The air and the shaking of the coach made the drink he had get more up in his head than it was before, and he grew uneasy in the coach, and was for acting over again what he had been doing before; but as I thought my game now secure, I resisted him, and brought him to be a little still, which had not lasted five minutes but he fell fast asleep.",I took this opportunity to search him to a nicety.,"I took a gold watch, with a silk purse of gold, his fine full-bottom periwig and silver-fringed gloves, his sword and fine snuff-box, and gently opening the coach door, stood ready to jump out while the coach was going on; but the coach stopped in the narrow street beyond Temple Bar to let another coach pass, I got softly out, fastened the door again, and gave my gentleman and the coach the slip both together, and never heard more of them."
48,run the gauntlet,"He had not gone above two leagues when he was overtaken by four other heroes, six feet high, who bound him neck and heels, and carried him to a dungeon.","A courtmartial sat upon him, and he was asked which he liked better, to run the gauntlet six and thirty times through the whole regiment, or to have his brains blown out with a dozen musket-balls?","In vain did he remonstrate to them that the human will is free, and that he chose neither; they obliged him to make a choice, and he determined, in virtue of that divine gift called free will, to run the gauntlet six and thirty times."
49,run the gauntlet,"A courtmartial sat upon him, and he was asked which he liked better, to run the gauntlet six and thirty times through the whole regiment, or to have his brains blown out with a dozen musket-balls?","In vain did he remonstrate to them that the human will is free, and that he chose neither; they obliged him to make a choice, and he determined, in virtue of that divine gift called free will, to run the gauntlet six and thirty times.","He had gone through his discipline twice, and the regiment being composed of 2,000 men, they composed for him exactly 4,000 strokes, which laid bare all his muscles and nerves from the nape of his neck to his stern."
50,run the gauntlet,"""Sir,"" said Candide, in a submissive manner, ""I conceive there can be no effect without a cause; everything is necessarily concatenated and arranged for the best.","It was necessary that I should be banished from the presence of Miss Cunegund; that I should afterwards run the gauntlet; and it is necessary I should beg my bread, till I am able to get it.","All this could not have been otherwise."""
51,run the gauntlet,"They saw several heads curiously stuck upon poles, and carried as presents to the Sublime Porte.","Such sights gave occasion to frequent dissertations; and when no disputes were in progress, the irksomeness was so excessive that the old woman ventured one day to tell them: ""I would be glad to know which is worst, to be ravished a hundred times by Negro pirates, to have one buttock cut off, to run the gauntlet among the Bulgarians, to be whipped and hanged at an auto-da-fe, to be dissected, to be chained to an oar in a galley; and, in short, to experience all the miseries through which every one of us hath passed, or to remain here doing nothing?""","""This,"" said Candide, ""is a grand question."""
52,go halves,"""A fellow who is working at the chemical laboratory up at the hospital.","He was bemoaning himself this morning because he could not get someone to go halves with him in some nice rooms which he had found, and which were too much for his purse.""","""By Jove!"""
53,go halves,"""We came here on business,"" said Stamford, sitting down on a high three-legged stool, and pushing another one in my direction with his foot.","""My friend here wants to take diggings, and as you were complaining that you could get no one to go halves with you, I thought that I had better bring you together.""",Sherlock Holmes seemed delighted at the idea of sharing his rooms with me.
54,lay down the law,"'No doubt a wedding,' thought Augustin.",'But the children lay down the law here! .,. .
55,go begging,"The difficulty was, how to traverse the four thousand seven hundred miles of the Pacific which lay between Japan and the New World.","Passepartout was not the man to let an idea go begging, and directed his steps towards the docks.","But, as he approached them, his project, which at first had seemed so simple, began to grow more and more formidable to his mind."
56,go begging,"The difficulty was, how to traverse the four thousand seven hundred miles of the Pacific which lay between Japan and the New World.","Passepartout was not the man to let an idea go begging, and directed his steps towards the docks.","But, as he approached them, his project, which at first had seemed so simple, began to grow more and more formidable to his mind."
57,go begging,"The difficulty was, how to traverse the four thousand seven hundred miles of the Pacific which lay between Japan and the New World.","Passepartout was not the man to let an idea go begging, and directed his steps towards the docks.","But, as he approached them, his project, which at first had seemed so simple, began to grow more and more formidable to his mind."
58,bright and early,"Its heading was southwesterly, and in three days it had cleared the 750 leagues that separated La Pérouse's islands from the southeastern tip of Papua.","On January 1, 1868, bright and early, Conseil joined me on the platform.","""Will master,"" the gallant lad said to me, ""allow me to wish him a happy new year?"""
59,bright and early,It's a fascinating sport.,"So, professor, I'll see you tomorrow, bright and early.""","This said in a carefree tone, Captain Nemo left the lounge."
60,bright and early,"Then I went to bed; but not without praying, like a good Hindu, for the favors of the radiant orb.","The next day, March 21, bright and early at five o'clock in the morning, I climbed onto the platform.",I found Captain Nemo there.
61,bright and early,"Its heading was southwesterly, and in three days it had cleared the 750 leagues that separated La Pérouse's islands from the southeastern tip of Papua.","On January 1, 1868, bright and early, Conseil joined me on the platform.","""Will master,"" the gallant lad said to me, ""allow me to wish him a happy new year?"""
62,bright and early,It's a fascinating sport.,"So, professor, I'll see you tomorrow, bright and early.""","This said in a carefree tone, Captain Nemo left the lounge."
63,bright and early,"Then I went to bed; but not without praying, like a good Hindu, for the favors of the radiant orb.","The next day, March 21, bright and early at five o'clock in the morning, I climbed onto the platform.",I found Captain Nemo there.
64,burn the candle at both ends,"From what I hear, he's a regular dog; he's rolling in money; he's taking three mistresses and a cook along with him.","All these great artists burn the candle at both ends; they require a dissolute life, that suits the imagination to some extent.","But they die at the hospital, because they haven't the sense when young to lay by."
65,leave it at that,"Until now, its dynamic potential has remained quite limited, capable of producing only small amounts of power!""","""Professor,"" Captain Nemo replied, ""my electricity isn't the run-of-the-mill variety, and with your permission, I'll leave it at that.""","""I won't insist, sir, and I'll rest content with simply being flabbergasted at your results."
66,leave it at that,"""We'll soon see,"" Ned Land replied, shaking his head with a determined expression.","""And now, Ned Land,"" I added, ""let's leave it at that.",Not another word on any of this.
67,leave it at that,"Until now, its dynamic potential has remained quite limited, capable of producing only small amounts of power!""","""Professor,"" Captain Nemo replied, ""my electricity isn't the run-of-the-mill variety, and with your permission, I'll leave it at that.""","""I won't insist, sir, and I'll rest content with simply being flabbergasted at your results."
68,leave it at that,"""We'll soon see,"" Ned Land replied, shaking his head with a determined expression.","""And now, Ned Land,"" I added, ""let's leave it at that.",Not another word on any of this.
69,walk of life,"I assure you, then, that what I am about to tell you, surprising as it may seem, is the absolute and undeniable truth concerning the mysterious death of Captain Barrington.","""It may seem impossible to you that one in my humble walk of life should bear a deadly and implacable hatred against a man in the position of Captain Barrington.",You think that the gulf between is too wide.
70,under the table,"The MORBLEUS, the SANG DIEUS, the MORTS TOUTS LES DIABLES, crossed one another in the air.","D’Artagnan looked for some tapestry behind which he might hide himself, and felt an immense inclination to crawl under the table.","""Well, my Captain,"" said Porthos, quite beside himself, ""the truth is that we were six against six."
71,under the table,"This brought them, by the end of the repast, to swallowing a drink which from the color of the ruby had passed to that of a pale topaz.","Porthos ate his wing of the fowl timidly, and shuddered when he felt the knee of the procurator’s wife under the table, as it came in search of his.","He also drank half a glass of this sparingly served wine, and found it to be nothing but that horrible Montreuil--the terror of all expert palates."
72,under the table,"At the small tables which were arranged about the room some thirty customers were drinking English beer, porter, gin, and brandy; smoking, the while, long red clay pipes stuffed with little balls of opium mingled with essence of rose.","From time to time one of the smokers, overcome with the narcotic, would slip under the table, whereupon the waiters, taking him by the head and feet, carried and laid him upon the bed.",The bed already supported twenty of these stupefied sots.
73,under the table,"Why, there's hardly enough of me left to make one respectable person!'","Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.","'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'"
74,under the table,"Why, there's hardly enough of me left to make one respectable person!'","Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.","'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'"
75,under the table,"Indeed, she told herself that the hardships they had shared had surely united them in a wedlock consecrated by suffering.",More than once they had spent the night side by side on a bench in one of the London parks and gathered up scraps of broken bread under the table in the taverns in Piccadilly.,Her mother could find no answer and gazed at her mournfully.
76,under the table,"Why, there's hardly enough of me left to make one respectable person!'","Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.","'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'"
77,under the table,"Faulkner claimed to be champion of the seniors, and even old Buckhorse's curious call rang out above the tumult as he turned the whole company to laughter and good humour again by challenging anything over eighty and under seven stone.","But in spite of gleams of sunshine, there was thunder in the air, and Champion Harrison had just whispered in my ear that he was quite sure that we should never get through the night without trouble, and was advising me, if it got very bad, to take refuge under the table, when the landlord entered the room hurriedly and handed a note to my uncle.","He read it, and then passed it to the Prince, who returned it with raised eyebrows and a gesture of surprise."
78,under the table,"The MORBLEUS, the SANG DIEUS, the MORTS TOUTS LES DIABLES, crossed one another in the air.","D’Artagnan looked for some tapestry behind which he might hide himself, and felt an immense inclination to crawl under the table.","""Well, my Captain,"" said Porthos, quite beside himself, ""the truth is that we were six against six."
79,under the table,"This brought them, by the end of the repast, to swallowing a drink which from the color of the ruby had passed to that of a pale topaz.","Porthos ate his wing of the fowl timidly, and shuddered when he felt the knee of the procurator’s wife under the table, as it came in search of his.","He also drank half a glass of this sparingly served wine, and found it to be nothing but that horrible Montreuil--the terror of all expert palates."
80,under the table,"The MORBLUES, the SANG DIEUS, the MORTS TOUTS LES DIABLES, crossed one another in the air.","D'Artagnan looked for some tapestry behind which he might hide himself, and felt an immense inclination to crawl under the table.","""Well, my Captain,"" said Porthos, quite beside himself, ""the truth is that we were six against six."
81,under the table,"This brought them, by the end of the repast, to swallowing a drink which from the color of the ruby had passed to that of a pale topaz.","Porthos ate his wing of the fowl timidly, and shuddered when he felt the knee of the procurator's wife under the table, as it came in search of his.","He also drank half a glass of this sparingly served wine, and found it to be nothing but that horrible Montreuil--the terror of all expert palates."
82,under the table,"""We must hide this from him,"" said Charles.",Madame Bovary took the basin to put it under the table.,"With the movement she made in bending down, her dress (it was a summer dress with four flounces, yellow, long in the waist and wide in the skirt) spread out around her on the flags of the room; and as Emma stooping, staggered a little as she stretched out her arms."
83,under the table,"Indeed, she told herself that the hardships they had shared had surely united them in a wedlock consecrated by suffering.",More than once they had spent the night side by side on a bench in one of the London parks and gathered up scraps of broken bread under the table in the taverns in Piccadilly.,Her mother could find no answer and gazed at her mournfully.
84,under the table,"At the small tables which were arranged about the room some thirty customers were drinking English beer, porter, gin, and brandy; smoking, the while, long red clay pipes stuffed with little balls of opium mingled with essence of rose.","From time to time one of the smokers, overcome with the narcotic, would slip under the table, whereupon the waiters, taking him by the head and feet, carried and laid him upon the bed.",The bed already supported twenty of these stupefied sots.
85,under the table,"At the small tables which were arranged about the room some thirty customers were drinking English beer, porter, gin, and brandy; smoking, the while, long red clay pipes stuffed with little balls of opium mingled with essence of rose.","From time to time one of the smokers, overcome with the narcotic, would slip under the table, whereupon the waiters, taking him by the head and feet, carried and laid him upon the bed.",The bed already supported twenty of these stupefied sots.
86,give up the ghost,The man applied the same balsam as they do to children after circumcision.,We were all ready to give up the ghost.,"""The Janissaries had scarcely time to finish the repast with which we had supplied them, when the Russians attacked the place by means of flat-bottomed boats, and not a single janissary escaped."
87,sing the praises of,"She means to say: ""Therese and Laurent have been very kind to me.""","Grivet, on this occasion, had cause to be proud of his imagination, for all the company were of his opinion; and the guests began to sing the praises of the married couple, who were so good for the poor lady.","""It is certain,"" old Michaud gravely remarked, ""that Madame Raquin wishes to bear testimony to the tender affection her children lavish on her, and this does honour to the whole family."""
88,watch out,I shall be late!',"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.","In another moment down went Alice after it, never once considering how in the world she was to get out again."
89,watch out,'What day of the month is it?',"he said, turning to Alice: he had taken his watch out of his pocket, and was looking at it uneasily, shaking it every now and then, and holding it to his ear.","Alice considered a little, and then said 'The fourth."
90,watch out,I shall be late!',"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.","In another moment down went Alice after it, never once considering how in the world she was to get out again."
91,watch out,'What day of the month is it?',"he said, turning to Alice: he had taken his watch out of his pocket, and was looking at it uneasily, shaking it every now and then, and holding it to his ear.","Alice considered a little, and then said 'The fourth."
92,watch out,I shall be late!',"(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.","In another moment down went Alice after it, never once considering how in the world she was to get out again."
93,watch out,'What day of the month is it?',"he said, turning to Alice: he had taken his watch out of his pocket, and was looking at it uneasily, shaking it every now and then, and holding it to his ear.","Alice considered a little, and then said 'The fourth."
94,watch out,"I want you to stay.""",The count took a very elegant watch out of his pocket and looked at the time.,"""I must be going to my club,"" he said."
95,in cold blood,"""I could not trust myself to speak longer with the man.","The more I looked at his fat, frightened face, the harder did it seem that we should slay him in cold blood.",It was best to get it over.
96,in cold blood,"that she should use her endeavours with her son to give me leave to go to England, as I had desired, and to furnish me with a sufficient sum of money, either in goods along with me, or in bills for my support there, all along suggesting that he might one time or other think it proper to come over to me.","That when I was gone, she should then, in cold blood, and after first obliging him in the solemnest manner possible to secrecy, discover the case to him, doing it gradually, and as her own discretion should guide her, so that he might not be surprised with it, and fly out into any passions and excesses on my account, or on hers; and that she should concern herself to prevent his slighting the children, or marrying again, unless he had a certain account of my being dead.","This was my scheme, and my reasons were good; I was really alienated from him in the consequences of these things; indeed, I mortally hated him as a husband, and it was impossible to remove that riveted aversion I had to him."
97,in cold blood,"There he remained until closing time, and when he came out he was so far gone that I knew the game was in my own hands.","""Don't imagine that I intended to kill him in cold blood.","It would only have been rigid justice if I had done so, but I could not bring myself to do it."
98,in cold blood,"After so atrocious, so humiliating a scene, in anyone less passionate than Julien, love would have become impossible.","Without departing for a single instant from what she owed to herself, Mademoiselle de La Mole had addressed to him certain of those disagreeable statements, so well calculated that they can appear to be true, even when one remembers them in cold blood.",The conclusion that Julien drew at the first moment from so astonishing a scene was that Mathilde had an unbounded pride.
99,taste blood,"He felt an awful voice within, deafening him.","It arose from his bowels and was beating in his head like a hammer, a sudden mania of murder, a need to taste blood.",Never before had the crisis so shaken him.
100,in a fog,"Several had already appeared before the Tribunal; they were all alike, these empty-headed, opinionated soldiers with the brains of a sparrow in an ox's skull.","This particular commander was pretty nearly as ignorant of the sieges and battles of his own campaign as the magistrates who were questioning him; both sides, prosecution and defence, were lost in a fog of effectives, objectives, munitions and ammunitions, marches and counter-marches.","But the mass of citizens listening to these obscure and never-ending details could see behind the half-witted soldier the bare and bleeding breast of the fatherland enduring a thousand deaths; and by look and voice urged the jurymen, sitting quietly on their bench, to use their verdict as a club to fell the foes of the Republic."
101,in a fog,I know where I am now.,"I've been in a fog without a compass for nearly three days, and I didn't thought I was ever to see land again.""","He spoke English glibly enough, but with some strange turn of speech from time to time."
102,in a fog,"Several had already appeared before the Tribunal; they were all alike, these empty-headed, opinionated soldiers with the brains of a sparrow in an ox's skull.","This particular commander was pretty nearly as ignorant of the sieges and battles of his own campaign as the magistrates who were questioning him; both sides, prosecution and defence, were lost in a fog of effectives, objectives, munitions and ammunitions, marches and counter-marches.","But the mass of citizens listening to these obscure and never-ending details could see behind the half-witted soldier the bare and bleeding breast of the fatherland enduring a thousand deaths; and by look and voice urged the jurymen, sitting quietly on their bench, to use their verdict as a club to fell the foes of the Republic."
